frame,kart,g28,g2A,g2C,g2E,g30,gE00,gE02,g124,g126,f16,f1A,f22,f24,fAE,f10,f12,f18,f1C,f1F,f26,f28,f2A,f60,fA0,fA2,fA4,fA6,fA8,fAA,fAC,fAE,fB0,fB2,fB4,fC2,fC4,fCA,fD6,fDE,fE0,fE2,fE4,fEA,fFA,fFC,fE8,fEE,fB8
47,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
47,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
48,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
48,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
49,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
49,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
50,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
50,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
51,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
51,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
52,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
52,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
53,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
53,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
54,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
54,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
55,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
55,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
56,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
56,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
